0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
VT-ABC-WO-9571,VT-ABC,BA-1432,Inspection,RET-CUHDG,11/21/2024 4:13,12/9/2024 2:19,5,32,Hydraulic leak,Seal,3,MTC-9WAIO,FALSE,FALSE,
VT-ABC-WO-4993,VT-ABC,KL-339,Inspection,GH-NIUIB,12/5/2024 20:45,10/28/2024 1:08,5,32,Hydraulic leak,Seal,3,RET-0E5NW,FALSE,FALSE,
VT-ABC-WO-3449,VT-ABC,IX-9665,Inspection,OPS-UC1BZ,11/28/2024 5:00,10/8/2024 23:40,5,32,Hydraulic leak,Seal,3,SEC-96PG5,FALSE,FALSE,
VT-ABC-WO-4225,VT-ABC,SQ-7179,Inspection,SEC-O6DDI,12/23/2024 17:40,10/6/2024 20:59,5,32,Hydraulic leak,Seal,3,SEC-ZQ12M,FALSE,FALSE,
VT-ABC-WO-3772,VT-ABC,SG-8995,Inspection,GH-9TI5Z,10/14/2024 3:53,10/24/2024 16:45,5,32,Hydraulic leak,Seal,3,CC-IQNHJ,FALSE,FALSE,
VT-ABC-WO-9363,VT-ABC,6E-8983,Inspection,OPS-24AJ6,12/16/2024 7:40,11/16/2024 4:43,5,32,Hydraulic leak,Seal,3,MTC-NL8AY,FALSE,FALSE,
VT-ABC-WO-3500,VT-ABC,6E-6657,Inspection,CC-8IL9O,10/28/2024 11:21,12/19/2024 10:47,5,32,Hydraulic leak,Seal,3,SEC-SU5SP,FALSE,FALSE,
VT-ABC-WO-5621,VT-ABC,LH-4895,Inspection,OPS-60IQR,11/24/2024 17:27,11/26/2024 15:28,5,32,Hydraulic leak,Seal,3,CC-L6NX7,FALSE,FALSE,
VT-ABC-WO-5140,VT-ABC,IX-1406,Inspection,RET-1LBKT,10/26/2024 14:17,11/25/2024 15:18,5,32,Hydraulic leak,Seal,3,SEC-JU8RJ,FALSE,FALSE,
VT-ABC-WO-1244,VT-ABC,SQ-6749,Inspection,GH-7A031,12/19/2024 21:28,11/9/2024 23:25,5,32,Hydraulic leak,Seal,3,MTC-UN977,FALSE,FALSE,
VT-ABC-WO-7843,VT-ABC,SG-9541,Inspection,GH-DGA01,12/4/2024 11:45,12/11/2024 12:48,5,32,Hydraulic leak,Seal,3,MTC-OABB1,FALSE,FALSE,
VT-ABC-WO-6877,VT-ABC,EK-6820,Inspection,SEC-EJNFX,10/10/2024 22:37,10/4/2024 18:58,5,32,Hydraulic leak,Seal,3,MTC-WSI2V,FALSE,FALSE,
VT-ABC-WO-3029,VT-ABC,SQ-1959,Inspection,MTC-O1VTN,12/8/2024 14:49,12/29/2024 14:34,5,32,Hydraulic leak,Seal,3,RET-V2ADN,FALSE,FALSE,
VT-ABC-WO-5059,VT-ABC,SQ-7054,Inspection,MTC-VAXEE,10/22/2024 0:55,10/11/2024 17:39,5,32,Hydraulic leak,Seal,3,GH-RAA3S,FALSE,FALSE,
VT-ABC-WO-1913,VT-ABC,UK-9768,Inspection,RET-URJPE,11/22/2024 22:32,11/30/2024 0:57,5,32,Hydraulic leak,Seal,3,MTC-6L4K4,FALSE,FALSE,
VT-ABC-WO-5454,VT-ABC,EK-3183,Inspection,SEC-QXY4X,12/23/2024 20:18,11/10/2024 8:24,5,32,Hydraulic leak,Seal,3,CC-OYVQF,FALSE,FALSE,
VT-ABC-WO-5050,VT-ABC,LH-6040,Inspection,SEC-YDQZL,12/29/2024 14:45,12/21/2024 18:21,5,32,Hydraulic leak,Seal,3,RET-TTN5I,FALSE,FALSE,
VT-ABC-WO-7132,VT-ABC,LH-4309,Inspection,GH-B5DRM,11/8/2024 19:56,11/10/2024 23:20,5,32,Hydraulic leak,Seal,3,GH-9MR9Q,FALSE,FALSE,
VT-ABC-WO-5218,VT-ABC,AI-3647,Inspection,GH-6XEIR,10/2/2024 3:49,12/5/2024 18:17,5,32,Hydraulic leak,Seal,3,GH-5E94U,FALSE,FALSE,
VT-ABC-WO-1264,VT-ABC,KL-3994,Inspection,RET-SOTU1,12/12/2024 2:54,10/5/2024 9:32,5,32,Hydraulic leak,Seal,3,SEC-H98SV,FALSE,FALSE,
VT-ABC-WO-1139,VT-ABC,KL-7450,Inspection,GH-DZQUS,11/7/2024 9:32,11/20/2024 15:11,5,32,Hydraulic leak,Seal,3,CC-BXQHY,FALSE,FALSE,
VT-ABC-WO-3754,VT-ABC,IX-8680,Inspection,MTC-JFM46,12/25/2024 4:33,10/9/2024 14:37,5,32,Hydraulic leak,Seal,3,RET-MNB22,FALSE,FALSE,
VT-ABC-WO-8099,VT-ABC,EK-9962,Inspection,MTC-MS3B0,11/23/2024 19:36,10/3/2024 7:43,5,32,Hydraulic leak,Seal,3,MTC-AIO3G,FALSE,FALSE,
VT-ABC-WO-7378,VT-ABC,IX-8464,Inspection,SEC-3YJV2,10/15/2024 1:55,11/10/2024 6:51,5,32,Hydraulic leak,Seal,3,MTC-BQELU,FALSE,FALSE,
